,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
Northumberland,/,Warkworth, Brewery Lane,/,/,/,/,/,/,/,/,/,06.00 - 17.00,17.00 - 06.00,/,/,/,/,1,1,0,/,/,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Boulmer,Coastguard Cottage,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Craster,Tourist Information Centre,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,1,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Newton-By-The-Sea,Low Newton by the Seaÿ - Rear of Ship Inn,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,No,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Rothbury,Bridge Street,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,No,1,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Bamburgh,Church Street,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, œ0.20 ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Bamburgh,Links Car park,/,/,/,/,/,/,/,/,/,06.00 - 18.30,18.30 - 06.00,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Beadnell,Car park,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Berwick-upon-Tweed,Eastern Lane,/,/,/,/,/,/,/,/,1,/,/,/,/,/,Open: March to October,1,1,0,1,Yes,0,/,0,/,/,/, œ0.20 ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Berwick-upon-Tweed,Woolmarket,/,/,/,/,/,/,/,/,1,/,/,/,/,/,Open: April - October,1,1,0,1,Yes,0,/,0,/,/,/, œ0.20 ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Berwick-upon-Tweed,Castlegate Car Park,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, œ0.20 ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Berwick-upon-Tweed,East Ord Picnic Area,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,/,/,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Berwick-upon-Tweed,Magdelene Fields,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"Winter Opening Hours, openÿOctober to March 08:00hrs to 15:15hrs (Monday - Thursday), 09.00hrs to 16.00hrs (Saturday and Sunday); 08.00hrs to 13.00hrs (Friday)ÿ",1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
